GAME_ID,game_date,matchup,view_count,like_count,comment_count,pace_game,points,pct_pts_from_3pt,pct_fga_from_3pt,close_game,totalallstarsplayed,pct_pts_ft_game,pct_pts_fb_game,dunks,threes_more_than_28ft,highlight_plays,mov,avg_value_billions
22000496,2021-02-24,HORNETS at SUNS,737975.0,5337.0,1125.0,104.5,245.0,0.330612,0.422857,0.0,2,0.179591836734694,0.142857142857143,14.0,1.0,15.0,3.0,3.9750000000000000
22000497,2021-02-24,LAKERS at JAZZ,1568209.0,10673.0,5099.0,92.5,203.0,0.44335,0.47093,0.0,4,0.113300492610837,0.133004926108374,12.0,1.0,13.0,25.0,5.375
22000499,2021-02-25,MAGIC at NETS,939961.0,7443.0,1440.0,104.0,221.0,0.393665,0.452514,0.0,2,0.108597285067873,0.14027149321267,5.0,0.0,5.0,37.0,4.575000000000000
22000498,2021-02-25,MAVERICKS at 76ERS,435816.0,2984.0,744.0,99.0,208.0,0.360577,0.375,0.0,3,0.197115384615385,,10.0,2.0,12.0,14.0,4.95
22000500,2021-02-25,KINGS at KNICKS,255272.0,2014.0,494.0,105.0,261.0,0.356322,0.412791,0.0,1,0.168582375478927,0.0613026819923372,8.0,0.0,8.0,19.0,5.975
22000501,2021-02-25,CLIPPERS at GRIZZLIES,429554.0,2629.0,687.0,98.5,216.0,0.319444,0.301136,0.0,2,0.115740740740741,0.115740740740741,7.0,0.0,7.0,28.0,4.300000000000000
22000502,2021-02-25,WIZARDS at NUGGETS,395457.0,2764.0,779.0,99.5,222.0,0.310811,0.374269,1.0,2,0.193693693693694,0.13963963963964,7.0,0.0,7.0,2.0,4.225
22000503,2021-02-25,PELICANS at BUCKS,624541.0,4339.0,997.0,103.0,254.0,0.307087,0.353535,1.0,2,0.0866141732283465,,11.0,8.0,19.0,4.0,3.7000000000000000
22000506,2021-02-26,ROCKETS at RAPTORS,265908.0,1868.0,572.0,99.5,233.0,0.412017,0.488889,0.0,0,0.184549356223176,0.0729613733905579,2.0,4.0,6.0,11.0,5.1
22000505,2021-02-26,PACERS at CELTICS,234105.0,1707.0,448.0,99.0,230.0,0.313043,0.397661,0.0,3,0.226086956521739,0.0695652173913044,4.0,0.0,4.0,6.0,4.45
22000508,2021-02-26,SUNS at BULLS,238764.0,1890.0,376.0,95.5,203.0,0.26601,0.319277,0.0,3,0.0935960591133005,0.157635467980296,,,,9.0,5.200000000000000
22000510,2021-02-26,HAWKS at THUNDER,243784.0,1615.0,347.0,96.5,227.0,0.370044,0.443243,1.0,0,0.092511013215859,0.0748898678414097,12.0,2.0,14.0,9.0,3.9
22000509,2021-02-26,CLIPPERS at GRIZZLIES,354886.0,1867.0,273.0,99.5,218.0,0.316514,0.355932,0.0,2,0.13302752293578,,9.0,0.0,9.0,20.0,4.300000000000000
22000507,2021-02-26,JAZZ at HEAT,655768.0,4906.0,959.0,101.5,240.0,0.3625,0.427778,0.0,3,0.179166666666667,0.05,,,,8.0,4.425
22000504,2021-02-26,KINGS at PISTONS,304532.0,1105.0,220.0,99.0,217.0,0.262673,0.380117,1.0,0,0.230414746543779,0.0460829493087558,12.0,1.0,13.0,3.0,3.95
22000511,2021-02-26,HORNETS at WARRIORS,1697901.0,15876.0,2025.0,112.0,251.0,0.334661,0.386905,1.0,1,0.179282868525896,,21.0,6.0,27.0,9.0,6.375
22000512,2021-02-26,TRAIL BLAZERS at LAKERS,1667009.0,14114.0,2211.0,94.5,195.0,0.276923,0.374269,1.0,2,0.2,0.184615384615385,9.0,2.0,11.0,9.0,5.325
22000517,2021-02-27,TIMBERWOLVES at WIZARDS,236956.0,1990.0,484.0,112.0,240.0,0.3,0.352332,0.0,1,0.191666666666667,0.0416666666666667,14.0,5.0,19.0,16.0,3.75
22000513,2021-02-27,CAVALIERS at 76ERS,334011.0,2552.0,664.0,99.62,221.0,0.244344,0.288889,0.0,2,0.203619909502262,0.221719457013575,7.0,4.0,11.0,3.0,4.625
22000518,2021-02-27,NUGGETS at THUNDER,221318.0,1283.0,136.0,101.5,222.0,0.351351,0.440678,0.0,1,0.108108108108108,0.0765765765765766,7.0,2.0,9.0,30.0,3.85
22000516,2021-02-27,JAZZ at MAGIC,377658.0,2070.0,308.0,96.5,233.0,0.399142,0.436464,0.0,3,0.103004291845494,0.0729613733905579,8.0,2.0,10.0,15.0,3.65
22000514,2021-02-27,PELICANS at SPURS,456644.0,2814.0,571.0,96.5,231.0,0.272727,0.361582,1.0,1,0.207792207792208,0.0779220779220779,6.0,0.0,6.0,3.0,3.5
22000515,2021-02-27,PACERS at KNICKS,555802.0,3669.0,679.0,102.0,217.0,0.317972,0.315152,0.0,2,0.175115207373272,0.101382488479263,10.0,2.0,12.0,3.0,5.45
22000519,2021-02-27,MAVERICKS at NETS,1405759.0,9442.0,1956.0,95.0,213.0,0.394366,0.465116,0.0,1,0.117370892018779,0.0892018779342723,6.0,1.0,7.0,17.0,5.3
22000520,2021-02-28,CLIPPERS at BUCKS,885683.0,6046.0,1467.0,96.5,205.0,0.380488,0.450549,0.0,3,0.11219512195122,,10.0,1.0,11.0,5.0,4.75
22000524,2021-02-28,WIZARDS at CELTICS,430973.0,3773.0,870.0,102.5,221.0,0.257919,0.358382,1.0,2,0.190045248868778,,10.0,3.0,13.0,1.0,4.875
22000521,2021-02-28,KNICKS at PISTONS,282601.0,2253.0,625.0,95.0,199.0,0.331658,0.367089,1.0,1,0.165829145728643,0.100502512562814,,,,19.0,5.475
